id;phone;message;send_at;sent_at;status;error_message
1;(926)098-33-47;quintessential aw;2026-01-28T19:11:18;2026-01-29T01:10:54;PENDING;scholarship however
2;(954)603-94-54;nun so;2026-01-29T03:54:12;2026-01-28T23:29:10;PENDING;shark federate fray
3;(955)137-88-83;assured newsstand goose;2026-01-29T03:43:31;2026-01-28T23:31:31;FAILED;eek aircraft mid
4;(993)410-68-45;but;2026-01-29T06:02:21;2026-01-28T12:28:48;FAILED;dowse
5;(996)244-27-59;casket;2026-01-28T16:50:42;2026-01-28T22:41:00;PENDING;delightfully
6;(927)757-05-95;unlawful surprise bludgeon;2026-01-28T18:20:47;2026-01-28T17:11:55;SENT;eulogise tarragon why
7;(918)189-84-14;excess kick;2026-01-28T12:31:38;2026-01-29T06:46:01;PENDING;apud
8;(982)875-04-26;transparency afterwards;2026-01-28T19:06:09;2026-01-28T16:48:40;PENDING;yet yahoo
9;(935)785-87-21;astride oh;2026-01-28T11:40:43;2026-01-29T09:19:10;SENT;wonderfully
10;(981)863-01-60;between aware;2026-01-28T14:29:28;2026-01-28T11:36:19;PENDING;frilly even
